Timestamp,Cycle,Phase,Force_N,Material,Confidence,J1,J2,J3
22:45:01.593,1,Moving,0.00,Wood,88.3,0.0,0.0,0.0
22:45:01.645,1,Gripping,0.25,Wood,88.3,0.0,0.0,0.0
22:45:01.695,1,Gripping,0.50,Wood,88.3,0.0,0.0,0.0
22:45:01.747,1,Gripping,0.75,Wood,88.3,0.0,0.0,0.0
22:45:01.797,1,Gripping,1.00,Wood,88.3,0.0,0.0,0.0
22:45:01.848,1,Gripping,1.25,Wood,88.3,0.0,0.0,0.0
22:45:01.899,1,Gripping,1.50,Wood,88.3,0.0,0.0,0.0
22:45:01.950,1,Gripping,1.75,Wood,88.3,0.0,0.0,0.0
22:45:02.002,1,Gripping,2.00,Wood,88.3,0.0,0.0,0.0
22:45:02.053,1,Gripping,2.25,Wood,88.3,0.0,0.0,0.0
22:45:02.105,1,Gripping,2.50,Wood,88.3,0.0,0.0,0.0
22:45:02.156,1,Gripping,2.75,Wood,88.3,0.0,0.0,0.0
22:45:02.207,1,Gripping,3.00,Wood,88.3,0.0,0.0,0.0
22:45:02.267,1,Gripping,3.25,Wood,88.3,0.0,0.0,0.0
22:45:02.321,1,Gripping,3.50,Wood,88.3,0.0,0.0,0.0
22:45:02.375,1,Gripping,3.75,Wood,88.3,0.0,0.0,0.0
22:45:02.428,1,Gripping,4.00,Wood,88.3,0.0,0.0,0.0
22:45:02.479,1,Gripping,4.25,Wood,88.3,0.0,0.0,0.0
22:45:02.530,1,Gripping,4.50,Wood,88.3,0.0,0.0,0.0
22:45:02.582,1,Gripping,4.75,Wood,88.3,0.0,0.0,0.0
22:45:02.632,1,Gripping,5.00,Wood,88.3,0.0,0.0,0.0
22:45:02.633,1,Gripping (Hold),5.00,Wood,88.3,0.0,0.0,0.0
22:45:05.058,1,Moving,5.00,Wood,88.3,67.0,43.0,48.0
22:45:10.094,1,Waiting,5.00,Wood,88.3,67.0,43.0,48.0
22:45:12.525,1,Moving,5.00,Wood,88.3,67.0,23.0,36.0
22:45:13.027,1,Release,0.00,Wood,88.3,67.0,23.0,36.0
22:45:15.452,1,Moving,0.00,Wood,88.3,121.0,71.0,74.0
22:45:17.896,2,Moving,0.00,Wood,88.3,0.0,0.0,0.0
22:45:17.947,2,Gripping,0.25,Wood,88.3,0.0,0.0,0.0
22:45:17.997,2,Gripping,0.50,Wood,88.3,0.0,0.0,0.0
22:45:18.049,2,Gripping,0.75,Wood,88.3,0.0,0.0,0.0
22:45:18.100,2,Gripping,1.00,Wood,88.3,0.0,0.0,0.0
22:45:18.151,2,Gripping,1.25,Wood,88.3,0.0,0.0,0.0
22:45:18.203,2,Gripping,1.50,Wood,88.3,0.0,0.0,0.0
22:45:18.254,2,Gripping,1.75,Wood,88.3,0.0,0.0,0.0
22:45:18.304,2,Gripping,2.00,Wood,88.3,0.0,0.0,0.0
22:45:18.356,2,Gripping,2.25,Wood,88.3,0.0,0.0,0.0
22:45:18.406,2,Gripping,2.50,Wood,88.3,0.0,0.0,0.0
22:45:18.457,2,Gripping,2.75,Wood,88.3,0.0,0.0,0.0
22:45:18.509,2,Gripping,3.00,Wood,88.3,0.0,0.0,0.0
22:45:18.560,2,Gripping,3.25,Wood,88.3,0.0,0.0,0.0
22:45:18.611,2,Gripping,3.50,Wood,88.3,0.0,0.0,0.0
22:45:18.663,2,Gripping,3.75,Wood,88.3,0.0,0.0,0.0
22:45:18.713,2,Gripping,4.00,Wood,88.3,0.0,0.0,0.0
22:45:18.765,2,Gripping,4.25,Wood,88.3,0.0,0.0,0.0
22:45:18.816,2,Gripping,4.50,Wood,88.3,0.0,0.0,0.0
22:45:18.867,2,Gripping,4.75,Wood,88.3,0.0,0.0,0.0
22:45:18.919,2,Gripping,5.00,Wood,88.3,0.0,0.0,0.0
22:45:18.920,2,Gripping (Hold),5.00,Wood,88.3,0.0,0.0,0.0
22:45:21.344,2,Moving,5.00,Wood,88.3,67.0,43.0,48.0
22:45:26.382,2,Waiting,5.00,Wood,88.3,67.0,43.0,48.0
22:45:28.862,2,Moving,5.00,Wood,88.3,67.0,23.0,36.0
22:45:29.363,2,Release,0.00,Wood,88.3,67.0,23.0,36.0
22:45:31.302,2,Moving,0.00,Wood,88.3,110.2,61.4,66.4
