Timestamp,Cycle,Phase,Force_N,Material,Confidence,J1,J2,J3
21:18:58.916,1,Gripping,0.15,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:58.968,1,Gripping,0.30,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.021,1,Gripping,0.45,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.072,1,Gripping,0.60,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.124,1,Gripping,0.75,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.176,1,Gripping,0.90,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.226,1,Gripping,1.05,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.278,1,Gripping,1.20,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.330,1,Gripping,1.35,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.381,1,Gripping,1.50,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.433,1,Gripping,1.65,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.484,1,Gripping,1.80,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.536,1,Gripping,1.95,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.587,1,Gripping,2.10,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.640,1,Gripping,2.25,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.692,1,Gripping,2.40,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.743,1,Gripping,2.55,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.796,1,Gripping,2.70,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.847,1,Gripping,2.85,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.899,1,Gripping,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:18:59.900,1,Gripping (Hold),3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:02.330,1,Moving,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:03.339,1,Waiting,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:05.770,1,Moving,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:06.781,1,Waiting,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.282,1,Release,0.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.349,2,Gripping,0.15,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.401,2,Gripping,0.30,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.452,2,Gripping,0.45,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.504,2,Gripping,0.60,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.556,2,Gripping,0.75,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.608,2,Gripping,0.90,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.661,2,Gripping,1.05,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.713,2,Gripping,1.20,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.765,2,Gripping,1.35,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.817,2,Gripping,1.50,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.871,2,Gripping,1.65,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.922,2,Gripping,1.80,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:07.974,2,Gripping,1.95,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.026,2,Gripping,2.10,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.079,2,Gripping,2.25,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.130,2,Gripping,2.40,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.182,2,Gripping,2.55,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.234,2,Gripping,2.70,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.287,2,Gripping,2.85,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.339,2,Gripping,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:08.340,2,Gripping (Hold),3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:10.769,2,Moving,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:11.780,2,Waiting,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:14.212,2,Moving,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:15.222,2,Waiting,3.00,Sponge/Soft,86.0,0.0,0.0,0.0
21:19:15.725,2,Release,0.00,Sponge/Soft,86.0,0.0,0.0,0.0
